x00,y00,z00,x01,y01,z01,x02,y02,z02,x03,y03,z03,x04,y04,z04,x05,y05,z05,x06,y06,z06,x07,y07,z07,x08,y08,z08,x09,y09,z09,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Label
0.619474173,0.576919317,-0.000182877,0.445639342,0.603317678,0.014718344,0.291043967,0.567762852,-0.028874338,0.17781961,0.522629917,-0.111214809,0.101162106,0.443460941,-0.212650836,0.291196346,0.276851773,0.085764684,0.142571315,0.201442063,-0.020418376,0.100484371,0.302898139,-0.113543376,0.110214993,0.398811281,-0.163286492,0.339271039,0.239327163,-0.003936776,0.17668137,0.157626987,-0.103804052,0.116855368,0.297905505,-0.192365766,0.125664011,0.412008166,-0.229957551,0.409223646,0.231497124,-0.110329255,0.24147515,0.162444204,-0.222516075,0.173487186,0.310448974,-0.286102146,0.177230626,0.429138809,-0.300269872,0.482394695,0.254249156,-0.218004569,0.328659832,0.21339272,-0.296508431,0.243376568,0.301453322,-0.309385896,0.213000163,0.394640058,-0.306081682,0
0.619474173,0.576919317,-0.000182877,0.445639342,0.603317678,0.014718344,0.291043967,0.567762852,-0.028874338,0.17781961,0.522629917,-0.111214809,0.101162106,0.443460941,-0.212650836,0.291196346,0.276851773,0.085764684,0.142571315,0.201442063,-0.020418376,0.100484371,0.302898139,-0.113543376,0.110214993,0.398811281,-0.163286492,0.339271039,0.239327163,-0.003936776,0.17668137,0.157626987,-0.103804052,0.116855368,0.297905505,-0.192365766,0.125664011,0.412008166,-0.229957551,0.409223646,0.231497124,-0.110329255,0.24147515,0.162444204,-0.222516075,0.173487186,0.310448974,-0.286102146,0.177230626,0.429138809,-0.300269872,0.482394695,0.254249156,-0.218004569,0.328659832,0.21339272,-0.296508431,0.243376568,0.301453322,-0.309385896,0.213000163,0.394640058,-0.306081682,0
0.611502349,0.513223171,-0.000177671,0.413892269,0.537636459,0.055252109,0.272933215,0.499766886,0.005764174,0.16867815,0.463365316,-0.087030225,0.129441947,0.390314192,-0.190834999,0.26722911,0.161784321,0.047169074,0.139568612,0.182519883,-0.029968839,0.131830946,0.293098837,-0.068917029,0.153656632,0.353736222,-0.085400611,0.3248294,0.119545862,-0.055935424,0.168317169,0.167142332,-0.109952219,0.155444637,0.301624864,-0.136978105,0.188216865,0.381126314,-0.137098327,0.393700689,0.126280427,-0.163487822,0.233537763,0.172138542,-0.246371627,0.203067675,0.307580829,-0.253581285,0.221634462,0.398552954,-0.231492296,0.457384288,0.173831433,-0.26968962,0.316092402,0.212490305,-0.345101267,0.256321341,0.297978699,-0.358794481,0.24163726,0.374990642,-0.346572787,0
0.602407932,0.475819379,-9.08203E-05,0.403729916,0.478054076,0.026664747,0.270717353,0.447501957,-0.035417575,0.171953529,0.41340071,-0.138655454,0.152381867,0.349855483,-0.242688239,0.305357128,0.142949924,0.007611243,0.186208248,0.127058044,-0.078720465,0.161421999,0.216197252,-0.118436456,0.173132926,0.267533183,-0.135871634,0.369407356,0.109586559,-0.083948918,0.21663186,0.114839599,-0.168458074,0.17590189,0.233348072,-0.220228627,0.188842043,0.318676651,-0.23603484,0.433505982,0.116454765,-0.176888347,0.282713383,0.119531758,-0.284366608,0.224309638,0.238501087,-0.305380672,0.222573668,0.330559611,-0.288273662,0.487957656,0.154921174,-0.267003953,0.366638064,0.163476542,-0.351066411,0.289827973,0.22948277,-0.36534813,0.2541053,0.293560684,-0.347957939,0
0.641184986,0.666953802,-0.000321574,0.434012353,0.60618329,0.122914478,0.326627046,0.476358682,0.132519558,0.242037073,0.374384046,0.079566292,0.201847732,0.253365785,0.021122519,0.493145585,0.26206705,0.209814772,0.37602064,0.095016137,0.130352899,0.268310249,0.164770842,0.071114972,0.23267369,0.254031092,0.054023094,0.554634035,0.245771497,0.093136132,0.412922889,0.057980627,0.036809593,0.282785773,0.148371398,-0.03694196,0.255776316,0.256419659,-0.055662487,0.604803026,0.258945316,-0.03343901,0.459657729,0.07283698,-0.077867649,0.316887915,0.151776731,-0.111109041,0.275110573,0.259794891,-0.111055277,0.619644403,0.291911662,-0.159181461,0.482723832,0.143281937,-0.184124351,0.358472943,0.170378014,-0.191191062,0.295197725,0.245672733,-0.184907064,0
0.546683311,0.637212753,-0.000134502,0.396655858,0.53027153,0.076015137,0.337761194,0.393480837,0.060575463,0.29100889,0.287322223,-0.001130831,0.280943036,0.166177034,-0.085146256,0.577439904,0.231203526,0.140021384,0.498504668,0.091097325,0.049379349,0.388085425,0.098217562,-0.021863034,0.320544571,0.151127383,-0.051778998,0.638495982,0.240407497,0.043506492,0.538626552,0.078148559,-0.01988603,0.391321152,0.102108568,-0.08990632,0.316267312,0.172751367,-0.106027521,0.682635307,0.277038902,-0.06958358,0.57364738,0.100415885,-0.129426435,0.420040905,0.123213291,-0.16025883,0.341736138,0.190752119,-0.161596373,0.692195296,0.332180917,-0.183924004,0.597071826,0.176618814,-0.211177081,0.481410444,0.16512908,-0.206997961,0.403585941,0.202088133,-0.197929427,0
0.495966852,0.77449739,-0.000308185,0.387934893,0.61282146,0.102712058,0.352233827,0.414035529,0.105383679,0.318545461,0.264679134,0.051382691,0.359658837,0.156755283,-0.000772291,0.625867426,0.299056023,0.169293985,0.635185838,0.077368587,0.075820684,0.491634697,0.078550875,0.01394247,0.396490961,0.140508965,-0.00454362,0.678977072,0.322643518,0.055413783,0.687808454,0.072561353,0.014395307,0.5069893,0.071947634,-0.056456219,0.406440347,0.142669737,-0.090539008,0.704798341,0.368709534,-0.071727641,0.699769497,0.119353577,-0.114199504,0.508293211,0.111708239,-0.139541402,0.396076739,0.174937621,-0.142964765,0.681937873,0.424179196,-0.194725439,0.64778775,0.209090561,-0.228410989,0.512467027,0.163650334,-0.227966681,0.40986973,0.187581867,-0.21353437,0
0.495966852,0.77449739,-0.000308185,0.387934893,0.61282146,0.102712058,0.352233827,0.414035529,0.105383679,0.318545461,0.264679134,0.051382691,0.359658837,0.156755283,-0.000772291,0.625867426,0.299056023,0.169293985,0.635185838,0.077368587,0.075820684,0.491634697,0.078550875,0.01394247,0.396490961,0.140508965,-0.00454362,0.678977072,0.322643518,0.055413783,0.687808454,0.072561353,0.014395307,0.5069893,0.071947634,-0.056456219,0.406440347,0.142669737,-0.090539008,0.704798341,0.368709534,-0.071727641,0.699769497,0.119353577,-0.114199504,0.508293211,0.111708239,-0.139541402,0.396076739,0.174937621,-0.142964765,0.681937873,0.424179196,-0.194725439,0.64778775,0.209090561,-0.228410989,0.512467027,0.163650334,-0.227966681,0.40986973,0.187581867,-0.21353437,0
0.447822154,0.773696303,-0.000289221,0.369802415,0.590900302,0.105245076,0.371536016,0.389548928,0.109884143,0.364864051,0.236399114,0.058102041,0.412983507,0.131027907,0.009092232,0.652710199,0.316906601,0.167038962,0.704638183,0.094860703,0.077596463,0.561526656,0.078341872,0.018805938,0.45986253,0.127096504,0.001387277,0.699630082,0.349533737,0.051657472,0.75410831,0.102704138,0.010984295,0.575509667,0.081668034,-0.06658905,0.468346834,0.141157255,-0.106901035,0.718071699,0.398975581,-0.075150549,0.761141539,0.151445538,-0.118520185,0.572758615,0.118366644,-0.148553967,0.453908622,0.169064075,-0.152273908,0.692280114,0.449960232,-0.196586072,0.701455653,0.230820075,-0.233971953,0.573068917,0.163318068,-0.235446468,0.467761785,0.170875221,-0.219317839,0
0.413632661,0.733694196,-0.000221918,0.354499221,0.547300398,0.098725103,0.393814117,0.365204841,0.092307597,0.414320588,0.228071868,0.025391612,0.473538071,0.113014504,-0.046874534,0.6841501,0.351026922,0.187712073,0.767280161,0.149995834,0.087893911,0.637812912,0.100451246,0.015448786,0.530800283,0.125951707,-0.012147135,0.728842437,0.392851442,0.075073048,0.815467715,0.159974962,0.020395301,0.64849776,0.104665399,-0.048433837,0.5351367,0.143932059,-0.066512428,0.741006136,0.445204318,-0.054154225,0.816292465,0.205012247,-0.101552472,0.642565727,0.143205896,-0.119417146,0.524704933,0.174984589,-0.111810319,0.705444932,0.486930966,-0.180370063,0.74432826,0.27136606,-0.219786048,0.635962486,0.189676195,-0.217449099,0.539390981,0.184690714,-0.195323363,0
0.371629477,0.739261091,-0.000262632,0.351435244,0.538467228,0.096904941,0.419484735,0.350299954,0.088502951,0.462170541,0.213332742,0.021203345,0.533511996,0.118621647,-0.047616553,0.712266088,0.367756158,0.177002177,0.847563684,0.178619906,0.076255292,0.721107006,0.114249349,0.006324721,0.611366212,0.122126922,-0.020446645,0.747653127,0.422756046,0.056135021,0.888439298,0.20786652,-0.019104457,0.722618818,0.136428937,-0.107687093,0.598854244,0.161417708,-0.134327725,0.749177694,0.483148992,-0.078145206,0.874138117,0.260572135,-0.141686976,0.707892835,0.177035302,-0.172311127,0.580435097,0.190765232,-0.168749973,0.706541479,0.526516199,-0.209667891,0.786297679,0.32286799,-0.263075799,0.687847972,0.224814788,-0.268698335,0.588192582,0.204447985,-0.250340343,0
0.541311026,0.72498703,-0.000324981,0.388289005,0.592300892,0.133321747,0.351023674,0.418468416,0.144603059,0.318770409,0.287236899,0.089571223,0.329319984,0.151116103,0.024960296,0.612587452,0.299493402,0.221100301,0.585672736,0.08911857,0.136893585,0.457888186,0.084344745,0.064828359,0.374889165,0.141846731,0.039330784,0.674186647,0.31143558,0.097691119,0.631749511,0.065407693,0.055654284,0.47038871,0.080233306,-0.010499187,0.388420403,0.164146125,-0.029085785,0.708935916,0.346578926,-0.037203979,0.655969441,0.099715427,-0.07283739,0.487628907,0.104452476,-0.095050327,0.397825062,0.182402566,-0.095639616,0.694972873,0.385274202,-0.169981539,0.63005209,0.179433972,-0.186856881,0.502170146,0.146503672,-0.183452696,0.408251524,0.183525205,-0.172904074,0
